Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry_lat,Geometry_lon,lat,lon
44,UM3_T,Tin Alley-Swanston St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.796904730054656, 144.96440378105314),-37.796904730054656,144.96440378105314
15,QV_T,State Library,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.810643783072699, 144.96447132269358),-37.810643783072699,144.96447132269358
45,Swa148_T,Little Collins St-Swanston St (East),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.814140740177315, 144.96609379750032),-37.814140740177315,144.96609379750032
7,Fed_T,Birrarung Marr,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.818323750658863, 144.971414820121),-37.818323750658863,144.971414820121
51,Fra118_T,QVM-Franklin St (North),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.808418141992533, 144.95906316665733),-37.808418141992533,144.95906316665733
32,CSq_T,City Square,Installed,21/02/2018 02:52:53 PM +0000,2014,,(-37.815737416687426, 144.96685717770589),-37.815737416687426,144.96685717770589
43,UM2_T,Monash Rd-Swanston St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.798445252496805, 144.96411782227088),-37.798445252496805,144.96411782227088
39,AlfPl_T,Alfred Place,Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.813797485100494, 144.96995745414122),-37.813797485100494,144.96995745414122
25,MCEC_T,Melbourne Convention Exhibition Centre,Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.824017759135216, 144.9560442639193),-37.824017759135216,144.9560442639193
28,VAC_T,The Arts Centre,Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.821299242476258, 144.96879309349177),-37.821299242476258,144.96879309349177
14,SanBri_T,Sandridge Bridge,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.820112416694684, 144.96291897545976),-37.820112416694684,144.96291897545976
12,NewQ_T,New Quay,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.814579871986844, 144.94292398102934),-37.814579871986844,144.94292398102934
34,Fli32_T,Flinders St-Spark La,Installed,21/02/2018 02:52:53 PM +0000,2014,Outdoor,(-37.815379850111633, 144.97415049580587),-37.815379850111633,144.97415049580587
37,Lyg260_T,Lygon St (East),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.803102709548419, 144.96671451739559),-37.803102709548419,144.96671451739559
41,Swa31,Flinders La-Swanston St (West),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.816686332059078, 144.96689733453496),-37.816686332059078,144.96689733453496
23,Col623_T,Spencer St-Collins St (South),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.819092559395756, 144.95452749017616),-37.819092559395756,144.95452749017616
31,Lyg161_T,Lygon St (West),Installed,21/02/2018 02:52:53 PM +0000,2014,Outdoor,(-37.801696804653453, 144.9665891148945),-37.801696804653453,144.9665891148945
11,WatCit_T,Waterfront City,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.815649888882199, 144.93970694770775),-37.815649888882199,144.93970694770775
29,AG_T,St Kilda Rd-Alexandra Gardens,Installed,21/02/2018 02:52:53 PM +0000,2014,Outdoor,(-37.819658083822993, 144.96863453313671),-37.819658083822993,144.96863453313671
20,LtB170_T,Chinatown-Lt Bourke St (South),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.811729134669015, 144.96824660144173),-37.811729134669015,144.96824660144173
36,Que85_T,Queen St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.816525268267789, 144.96121062534334),-37.816525268267789,144.96121062534334
42,UM1_T,Grattan St-Swanston St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.80008565482359, 144.96386412176841),-37.80008565482359,144.96386412176841
46,Pel147_T,Pelham St (South),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.802407187706052, 144.96156730779774),-37.802407187706052,144.96156730779774
40,Spr201_T,Lonsdale St-Spring St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,Outdoor,(-37.809993405779309, 144.97227587945684),-37.809993405779309,144.97227587945684
26,Eli483_T,QV Market-Elizabeth St (West),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.808695421477751, 144.96049403890297),-37.808695421477751,144.96049403890297
17,Col15_T,Collins Place (South),Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.813625424021069, 144.97323591677826),-37.813625424021069,144.97323591677826
21,Rus180_T,Bourke St-Russell St (West),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.812447026526826, 144.96778757166146),-37.812447026526826,144.96778757166146
24,Col620_T,Spencer St-Collins St (North),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.818879621419562, 144.95449198131038),-37.818879621419562,144.95449198131038
33,Spr13_T,Flinders St-Spring St (West),Installed,21/02/2018 02:52:53 PM +0000,2014,Outdoor,(-37.814832515783372, 144.97454055657269),-37.814832515783372,144.97454055657269
9,Col700_T,Southern Cross Station,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.819829916987437, 144.95102555754221),-37.819829916987437,144.95102555754221
13,Wil277_T,Flagstaff Station,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.812396786991528, 144.95652652844188),-37.812396786991528,144.95652652844188
22,Eli274_T,Flinders St-Elizabeth St (East),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.817864447819268, 144.96506822821439),-37.817864447819268,144.96506822821439
3,Swa295_T,Melbourne Central,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.811015234248927, 144.96429485172789),-37.811015234248927,144.96429485172789
52,Eli263_T,Elizabeth St-Lonsdale St (South),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.812521569103502, 144.96194010187361),-37.812521569103502,144.96194010187361
18,Col12_T,Collins Place (North),Installed,21/02/2018 02:52:49 PM +0000,2009,Outdoor,(-37.813448610691893, 144.97305353863325),-37.813448610691893,144.97305353863325
38,Swa11_T,Flinders St-Swanston St (West),Installed,21/02/2018 02:52:53 PM +0000,2015,,(-37.817234372499826, 144.96715032849306),-37.817234372499826,144.96715032849306
30,Lon189_T,Lonsdale St (South),Installed,21/02/2018 02:52:53 PM +0000,2014,Outdoor,(-37.811218491951543, 144.96656806600106),-37.811218491951543,144.96656806600106
10,BouHbr_T,Victoria Point,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.818764732754154, 144.94710545121293),-37.818764732754154,144.94710545121293
16,Col270_T,Australia on Collins,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.815734225275229, 144.96521043855941),-37.815734225275229,144.96521043855941
2,Bou283_T,Bourke Street Mall (South),Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.813806672422807, 144.96516718597087),-37.813806672422807,144.96516718597087
19,LtB210_T,Chinatown-Swanston St (North),Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.812372017099932, 144.96550671064864),-37.812372017099932,144.96550671064864
1,Bou292_T,Bourke Street Mall (North),Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.813494403633811, 144.96515323791417),-37.813494403633811,144.96515323791417
8,WebBN_T,Webb Bridge,Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.822935426374158, 144.94717510695298),-37.822935426374158,144.94717510695298
47,Eli250_T,Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.81160331158479, 144.9622007746282),-37.81160331158479,144.9622007746282
50,Lyg309_T,Faraday St-Lygon St (West),Installed,21/02/2018 02:52:53 PM +0000,2017,Outdoor,(-37.798081912978432, 144.96721013830222),-37.798081912978432,144.96721013830222
4,Swa123_T,Town Hall (West),Installed,21/02/2018 02:52:53 PM +0000,2009,Outdoor,(-37.814879875950261, 144.96608780143728),-37.814879875950261,144.96608780143728
27,Vic_T,QV Market-Peel St,Installed,21/02/2018 02:52:53 PM +0000,2013,Outdoor,(-37.806068879191962, 144.95644692973178),-37.806068879191962,144.95644692973178
35,SouthB_T,Southbank,Installed,21/02/2018 02:52:53 PM +0000,2016,Outdoor,(-37.820178277103203, 144.9650887736164),-37.820178277103203,144.9650887736164
