unix_time,st_marker_id,count,latitude,longitude
1462140000,78E,1,-37.809777517,144.972300782
1462140000,8478E,1,-37.8252256404,144.966922968
1462140000,12278N,1,-37.8096649074,144.977422772
1462140000,1006E,1,-37.8180898936,144.962759787
1462140000,8674E,1,-37.8253011741,144.962991832
1462140000,1536E,1,-37.8172953032,144.953468606
1462143600,962E,2,-37.811799007,144.962138548
1462143600,C664,1,-37.8145021698,144.968876804
1462143600,2851S,1,-37.8107134521,144.967957771
1462143600,787W,1,-37.8116014781,144.967423191
1462143600,8883W,1,-37.8249889327,144.961068029
1462143600,2849S,1,-37.810694218,144.968022662
1462147200,7565S,1,-37.8059278587,144.955561892
1462147200,8808E,1,-37.8228576908,144.966660404
1462147200,2343S,1,-37.8119410646,144.971321578
1462147200,C3164,1,-37.8139291756,144.956572096
1462147200,C2962,1,-37.8127954505,144.960541554
1462147200,1346E,1,-37.8148092924,144.957935619
1462150800,12446N,1,-37.8119102832,144.976422269
1462150800,13630E,1,-37.8190849215,144.944338903
1462150800,1402E,1,-37.8191021198,144.957099673
1462150800,3945S,1,-37.8126186292,144.953621602
1462150800,3761S,1,-37.8100604513,144.96247838
1462150800,1461W,1,-37.8161975919,144.955517815
1462150800,1177W,1,-37.8134961452,144.9598818
1462150800,4003W,1,-37.8078228131,144.960107707
1462154400,3340N,1,-37.8089141598,144.969865634
1462154400,2200N,1,-37.8152887906,144.963296443
1462154400,C228,1,-37.8155757478,144.972180076
1462154400,13430E,1,-37.8187401162,144.94860649
1462154400,13432E,1,-37.8188007368,144.948608905
1462154400,C828,1,-37.8111871874,144.967357575
1462158000,2344N,1,-37.8118260617,144.971162088
1462158000,964E,1,-37.8117423441,144.962112158
1462158000,990E,1,-37.8181858241,144.962803135
1462158000,13432E,1,-37.8188007368,144.948608905
1462161600,491W,1,-37.8106060105,144.969765068
1462161600,1736N,1,-37.8146530613,144.973061432
1462161600,3830N,1,-37.8107410549,144.95967865
1462161600,1734N,1,-37.8146343275,144.973125341
1462161600,C7030,1,-37.8074339454,144.958657593
1462161600,5994N,1,-37.8097417658,144.958952412
1462161600,C632,1,-37.8085681947,144.968957175
1462165200,5324E,1,-37.8109302361,144.956161497
1462165200,C2652,1,-37.8096179061,144.971357979
1462165200,12329S,2,-37.8099969733,144.979121446
1462165200,C5692,1,-37.8062713614,144.955080608
1462165200,3926N,1,-37.8121582158,144.954757303
1462165200,12381S,1,-37.8109054356,144.976337202
1462165200,1514E,1,-37.8195608007,144.954509896
1462165200,13212N,2,-37.8186717212,144.947483974
1462168800,C296,1,-37.8147802798,144.971810401
1462168800,1980N,1,-37.8165962651,144.962462829
1462168800,13821S,1,-37.8151605351,144.937060475
1462168800,12272N,1,-37.809643144,144.977220207
1462168800,13275S,1,-37.8195258955,144.949399114
1462168800,9337S,1,-37.8295604756,144.968328112
1462168800,10159W,1,-37.804653929,144.949247549
1462172400,1581S,1,-37.8186539729,144.963678409
1462172400,1297W,1,-37.8184045206,144.959334055
1462172400,C5576,1,-37.8063470394,144.95393714
1462172400,C3010,1,-37.8131705878,144.959216817
1462172400,8474E,1,-37.8253291703,144.966893898
1462172400,4586E,1,-37.8075592755,144.965895027
1462172400,13399W,1,-37.8212899472,144.95104724
1462172400,13336E,1,-37.816625935,144.945769076
1462172400,7023S,1,-37.8074744145,144.958849653
1462176000,11603S,1,-37.8108042506,144.951633063
1462176000,C2914,1,-37.8123614065,144.961939943
1462176000,3027S,1,-37.813342438,144.958955276
1462176000,12069W,1,-37.8118378108,144.983188755
1462176000,C544,1,-37.809609502,144.969435684
1462176000,7597S,1,-37.8053451529,144.950347357
1462176000,13331W,1,-37.8189744824,144.948404181
1462179600,C6808,1,-37.8093310426,144.956650701
1462179600,7039S,1,-37.8076236114,144.958336901
1462179600,105W,1,-37.8080151221,144.971375042
1462179600,1847S,1,-37.8188174913,144.959280181
1462179600,12282N,1,-37.8096793789,144.977557826
1462179600,10194E,1,-37.8036858149,144.949606408
1462179600,5094E,1,-37.8044552239,144.957746947
1462179600,12467S,1,-37.8120720331,144.97685324
1462183200,8633W,1,-37.8257405712,144.962277972
1462183200,13363W,1,-37.8191865227,144.949390089
1462183200,787W,1,-37.8116014781,144.967423191
1462186800,C3014,1,-37.8131793398,144.959186854
1462186800,C7150,1,-37.8070834887,144.953895626
1462186800,C4880,1,-37.8083807848,144.957836824
1462186800,3426N,1,-37.8104226767,144.964702493
1462186800,6592N,1,-37.8082965012,144.959632031
1462186800,551W,1,-37.809528214,144.969274707
1462190400,C9020,1,-37.8028724765,144.967030038
1462190400,103W,1,-37.8080633892,144.971397142
1462190400,13230N,1,-37.819392836,144.945027741
1462190400,11784E,1,-37.8110855667,144.975565121
1462190400,10197W,1,-37.8036096349,144.949429765
1462194000,C7684,1,-37.8036782152,144.955215185
1462194000,255W,1,-37.8153951145,144.971975008
1462194000,13880N,1,-37.8136138536,144.942534403
1462194000,2487S,1,-37.8167673491,144.954745442
1462194000,12345S,1,-37.810048713,144.979592158
1462194000,C828,1,-37.8111871874,144.967357575
1462197600,10198E,1,-37.8035797308,144.949625106
1462197600,13604E,1,-37.8203641717,144.944027764
1462197600,12017W,1,-37.8132398559,144.982954107
1462197600,1319W,1,-37.8169784687,144.958685695
1462197600,3875S,1,-37.8115538638,144.957363364
1462197600,3571S,1,-37.8138505919,144.953135785
1462197600,13231S,1,-37.8194422066,144.945469958
1462197600,12358N,1,-37.8102268933,144.982530488
1462197600,4477W,1,-37.8130808768,144.95407874
1462197600,2390N,1,-37.8146654753,144.961453898
1462201200,13094N,1,-37.821341955,144.944622378
1462201200,13868N,1,-37.8140245373,144.941629475
1462201200,1847S,1,-37.8188174913,144.959280181
1462201200,3575S,1,-37.8138933489,144.952985602
1462201200,C228,1,-37.8155757478,144.972180076
1462201200,8340E,1,-37.8244976488,144.968462253
1462201200,12812N,1,-37.8028319358,144.967544885
1462204800,1354E,1,-37.8142950826,144.957699886
1462204800,13300E,1,-37.8202422747,144.947316447
1462204800,3583S,1,-37.813966387,144.952729062
1462204800,C6612,1,-37.8084076867,144.959590226
1462204800,3105S,1,-37.813659388,144.957857062
1462204800,2416N,1,-37.8152949741,144.959277467
1462204800,12477S,1,-37.8121182452,144.977279943
1462204800,10188E,1,-37.8038457687,144.949578221
1462204800,3246N,1,-37.8141452313,144.955473534
1462208400,771W,1,-37.8123193055,144.967751422
1462208400,C724,1,-37.8136235594,144.968474144
1462208400,555W,1,-37.8094266182,144.969228105
1462208400,9252N,1,-37.8288406731,144.970372133
1462212000,2510N,1,-37.8108826124,144.970752365
1462212000,C6908,1,-37.8092048641,144.955819911
1462212000,10013S,1,-37.8237042453,144.969093502
1462212000,C596,1,-37.808894886,144.969107474
1462212000,3511S,1,-37.8129715181,144.956146414
1462212000,12324N,1,-37.809811727,144.97876035
1462215600,C5610,1,-37.8072924138,144.954902619
1462215600,4486E,1,-37.8126738744,144.954140329
1462215600,C13512,1,-37.8192462182,144.945838405
1462215600,2200N,1,-37.8152887906,144.963296443
1462215600,C8060,1,-37.8107180924,144.951597659
1462215600,3983S,1,-37.8129855868,144.952323251
1462215600,13416E,1,-37.8197394713,144.947915363
1462219200,1364E,1,-37.8139154978,144.957525911
1462219200,C1168,1,-37.8136122242,144.960063136
1462219200,8335W,1,-37.8246514952,144.968292667
1462219200,9970N,1,-37.8259887048,144.967149307
1462219200,C252,1,-37.8154106957,144.972104191
1462219200,13317W,1,-37.8201189648,144.947069457
1462222800,5384E,1,-37.8053108181,144.956254809
1462222800,10195W,1,-37.803664377,144.949420151
1462222800,12439S,1,-37.8119363772,144.975615719
1462222800,C13532,1,-37.8192989945,144.945656227
1462222800,C670,1,-37.8144074459,144.968834137
1462222800,C1248,1,-37.811889555,144.959278822
1462222800,13083S,1,-37.8211367631,144.943026786
1462222800,9357S,1,-37.8296583355,144.96798499
