bay_id,st_marker_id,status,location,lat,lon
1113,C1142,Unoccupied,"(-37.814282870710841, 144.96036959632758)",-37.814282870710841,144.96036959632758
2397,3262N,Present,"(-37.814218335683378, 144.95521722357597)",-37.814218335683378,144.95521722357597
2694,10324E,Unoccupied,"(-37.803003861581459, 144.94403243100396)",-37.803003861581459,144.94403243100396
5820,12568N,Unoccupied,"(-37.8158645316324, 144.98141676715164)",-37.8158645316324,144.98141676715164
5485,11893W,Unoccupied,"(-37.810396253999507, 144.97810771307672)",-37.810396253999507,144.97810771307672
3797,C5418,Unoccupied,"(-37.808234693468322, 144.95480119265767)",-37.808234693468322,144.95480119265767
2249,3940N,Present,"(-37.812285496819193, 144.95430806340084)",-37.812285496819193,144.95430806340084
2999,5048E,Unoccupied,"(-37.805320727736856, 144.95814372075984)",-37.805320727736856,144.95814372075984
6592,13793W,Present,"(-37.813016396980814, 144.9406092194443)",-37.813016396980814,144.9406092194443
6003,13005S,Unoccupied,"(-37.819335214900917, 144.95354287754233)",-37.819335214900917,144.95354287754233
1374,1532E,Present,"(-37.81740139023816, 144.95351741440902)",-37.81740139023816,144.95351741440902
1290,4482E,Unoccupied,"(-37.812781512946543, 144.95419047769457)",-37.812781512946543,144.95419047769457
1370,1518E,Unoccupied,"(-37.819463314600235, 144.954465310041)",-37.819463314600235,144.954465310041
1794,2450N,Unoccupied,"(-37.815952385403264, 144.95697107969687)",-37.815952385403264,144.95697107969687
1797,2457S,Unoccupied,"(-37.816195158571006, 144.95669428535837)",-37.816195158571006,144.95669428535837
6090,13247S,Present,"(-37.820075259269515, 144.9432832961879)",-37.820075259269515,144.9432832961879
5387,11740E,Unoccupied,"(-37.810315248358002, 144.97565693404488)",-37.810315248358002,144.97565693404488
3256,5809W,Present,"(-37.806981988700045, 144.95334636055071)",-37.806981988700045,144.95334636055071
5800,12528N,Unoccupied,"(-37.815308959772977, 144.9763622047825)",-37.815308959772977,144.9763622047825
5671,12340N,Unoccupied,"(-37.809891533873468, 144.9795001715643)",-37.809891533873468,144.9795001715643
6386,13635W,Unoccupied,"(-37.820126658349139, 144.94436297100791)",-37.820126658349139,144.94436297100791
2128,3701S,Unoccupied,"(-37.809113099765028, 144.96570578213547)",-37.809113099765028,144.96570578213547
3342,6026N,Unoccupied,"(-37.81040996007556, 144.95661083976387)",-37.81040996007556,144.95661083976387
2589,C3172,Unoccupied,"(-37.813946348085452, 144.95651214628509)",-37.813946348085452,144.95651214628509
1231,1456E,Unoccupied,"(-37.816701282554639, 144.95599914387458)",-37.816701282554639,144.95599914387458
2551,C3080,Present,"(-37.813357576484542, 144.95857662624789)",-37.813357576484542,144.95857662624789
5125,9938N,Unoccupied,"(-37.825870725762876, 144.96755431159625)",-37.825870725762876,144.96755431159625
3336,6020N,Unoccupied,"(-37.810349932125305, 144.95682008787242)",-37.810349932125305,144.95682008787242
5353,8887W,Present,"(-37.824910676513198, 144.96116003293125)",-37.824910676513198,144.96116003293125
3574,7120N,Unoccupied,"(-37.808200391205958, 144.95327001108745)",-37.808200391205958,144.95327001108745
3344,6028N,Unoccupied,"(-37.810426673457968, 144.95655248252592)",-37.810426673457968,144.95655248252592
5843,12573S,Unoccupied,"(-37.816074266363444, 144.9816229161267)",-37.816074266363444,144.9816229161267
3352,6037S,Unoccupied,"(-37.810581463592712, 144.9564929243906)",-37.810581463592712,144.9564929243906
1741,2350N,Unoccupied,"(-37.811903467402544, 144.97089849405825)",-37.811903467402544,144.97089849405825
3580,7129S,Unoccupied,"(-37.808403555308118, 144.95298215336743)",-37.808403555308118,144.95298215336743
3334,6018N,Unoccupied,"(-37.810331560199103, 144.95688411600307)",-37.810331560199103,144.95688411600307
712,486E,Present,"(-37.81071096341266, 144.97006495915298)",-37.81071096341266,144.97006495915298
642,C112,Present,"(-37.808825513519224, 144.97187528196002)",-37.808825513519224,144.97187528196002
4027,C6092,Present,"(-37.804956630441126, 144.95229819898572)",-37.804956630441126,144.95229819898572
3096,5248E,Present,"(-37.805078505021868, 144.95733720169193)",-37.805078505021868,144.95733720169193
5043,9523S,Unoccupied,"(-37.828416445114058, 144.9661797637132)",-37.828416445114058,144.9661797637132
1652,2139S,Present,"(-37.812753889872774, 144.97212276559213)",-37.812753889872774,144.97212276559213
2324,2890N,Present,"(-37.810932487666491, 144.96654227147445)",-37.810932487666491,144.96654227147445
2696,10326E,Unoccupied,"(-37.803046931285422, 144.94402475908936)",-37.803046931285422,144.94402475908936
6048,13018N,Unoccupied,"(-37.821064022677902, 144.94694855385976)",-37.821064022677902,144.94694855385976
5838,12563S,Unoccupied,"(-37.816036055633234, 144.98127678956817)",-37.816036055633234,144.98127678956817
4999,9431S,Unoccupied,"(-37.830162601104306, 144.96625065428879)",-37.830162601104306,144.96625065428879
5126,9939S,Unoccupied,"(-37.825988025073528, 144.96750181404423)",-37.825988025073528,144.96750181404423
2700,10330E,Unoccupied,"(-37.803192964359091, 144.94399913772605)",-37.803192964359091,144.94399913772605
1276,4468E,Unoccupied,"(-37.813555063049222, 144.95455077200643)",-37.813555063049222,144.95455077200643
3806,C5448,Unoccupied,"(-37.807567508370788, 144.95449120718911)",-37.807567508370788,144.95449120718911
6661,8467W,Present,"(-37.82550737225592, 144.96665162367316)",-37.82550737225592,144.96665162367316
1686,2230N,Present,"(-37.816086513758847, 144.96057643283004)",-37.816086513758847,144.96057643283004
1071,C1046,Present,"(-37.818097163011771, 144.96212211044167)",-37.818097163011771,144.96212211044167
5894,C9016,Present,"(-37.802869031898908, 144.96699877834774)",-37.802869031898908,144.96699877834774
6221,13320E,Unoccupied,"(-37.819476079371121, 144.94698725791261)",-37.819476079371121,144.94698725791261
5556,12045W,Unoccupied,"(-37.812465971039046, 144.98308392926054)",-37.812465971039046,144.98308392926054
6904,14255W,Unoccupied,"(-37.79479954762094, 144.9648645980057)",-37.79479954762094,144.9648645980057
4991,9423S,Unoccupied,"(-37.830120586260755, 144.96639585150243)",-37.830120586260755,144.96639585150243
985,914E,Present,"(-37.816753087780938, 144.96441038238697)",-37.816753087780938,144.96441038238697
5048,9825S,Unoccupied,"(-37.825171155460318, 144.97030193192643)",-37.825171155460318,144.97030193192643
1398,1579S,Unoccupied,"(-37.818635437963266, 144.96374242728461)",-37.818635437963266,144.96374242728461
1867,2599S,Unoccupied,"(-37.814897524255571, 144.95716502227475)",-37.814897524255571,144.95716502227475
3586,7141S,Unoccupied,"(-37.808518357323628, 144.9525901045169)",-37.808518357323628,144.9525901045169
4401,C7236,Unoccupied,"(-37.807899678320105, 144.95221886552395)",-37.807899678320105,144.95221886552395
3161,5353W,Unoccupied,"(-37.810139380103976, 144.95554654399626)",-37.810139380103976,144.95554654399626
2381,3198N,Unoccupied,"(-37.813976078984012, 144.95606599964034)",-37.813976078984012,144.95606599964034
6844,14048E,Unoccupied,"(-37.796456257838678, 144.95816983242844)",-37.796456257838678,144.95816983242844
2748,4578E,Present,"(-37.807989189202601, 144.9660188302588)",-37.807989189202601,144.9660188302588
6148,C13696,Present,"(-37.820003559240035, 144.94321344160676)",-37.820003559240035,144.94321344160676
3805,C5442,Present,"(-37.808041391134111, 144.9547126926679)",-37.808041391134111,144.9547126926679
3397,6237W,Unoccupied,"(-37.805897198882192, 144.95079789519866)",-37.805897198882192,144.95079789519866
6083,13231S,Present,"(-37.819442206605864, 144.94546995800488)",-37.819442206605864,144.94546995800488
3529,7019S,Unoccupied,"(-37.807431623510652, 144.95899650225894)",-37.807431623510652,144.95899650225894
5163,C1111,Present,"(-37.815584454554156, 144.9609672223782)",-37.815584454554156,144.9609672223782
3031,5131W,Unoccupied,"(-37.803159711547586, 144.95702080097871)",-37.803159711547586,144.95702080097871
1026,1188E,Present,"(-37.813369121633229, 144.96007932477016)",-37.813369121633229,144.96007932477016
4325,C6988,Unoccupied,"(-37.80927683391343, 144.95627639567826)",-37.80927683391343,144.95627639567826
5760,12437S,Unoccupied,"(-37.811928342790111, 144.9755427996227)",-37.811928342790111,144.9755427996227
6426,13679W,Unoccupied,"(-37.820914757256261, 144.94620103234968)",-37.820914757256261,144.94620103234968
4718,8666E,Present,"(-37.825380125415364, 144.9628992165224)",-37.825380125415364,144.9628992165224
6109,C13532,Present,"(-37.819298994484193, 144.94565622657365)",-37.819298994484193,144.94565622657365
6335,13488E,Present,"(-37.819652409237932, 144.95056451756312)",-37.819652409237932,144.95056451756312
6606,13841S,Present,"(-37.81458769360551, 144.9403742813135)",-37.81458769360551,144.9403742813135
4083,C6280,Unoccupied,"(-37.805043096122589, 144.9507772992846)",-37.805043096122589,144.9507772992846
2318,2861S,Present,"(-37.810809645016931, 144.967633211193)",-37.810809645016931,144.967633211193
5832,12551S,Unoccupied,"(-37.815988645738571, 144.980847323744)",-37.815988645738571,144.980847323744
5487,11897W,Unoccupied,"(-37.810264131645354, 144.97812947212751)",-37.810264131645354,144.97812947212751
4388,C7210,Unoccupied,"(-37.807681641432694, 144.95266786398412)",-37.807681641432694,144.95266786398412
5022,9455S,Unoccupied,"(-37.830288299596205, 144.96581624770479)",-37.830288299596205,144.96581624770479
6190,13270N,Present,"(-37.820167588460933, 144.94234825936621)",-37.820167588460933,144.94234825936621
6224,13326E,Present,"(-37.816905822643761, 144.94589266078236)",-37.816905822643761,144.94589266078236
2307,2845S,Present,"(-37.810656407554362, 144.96815088536169)",-37.810656407554362,144.96815088536169
3600,7335W,Unoccupied,"(-37.805454025065281, 144.94923493373912)",-37.805454025065281,144.94923493373912
4594,8322E,Unoccupied,"(-37.82497915038573, 144.96831715274382)",-37.82497915038573,144.96831715274382
4189,C6648,Unoccupied,"(-37.808550235751255, 144.95909799249529)",-37.808550235751255,144.95909799249529
3052,5160E,Present,"(-37.802680816762361, 144.95692368458529)",-37.802680816762361,144.95692368458529
4719,8668E,Present,"(-37.825360224107129, 144.96292256346737)",-37.825360224107129,144.96292256346737
2443,C2756,Present,"(-37.809983999169432, 144.97010747368216)",-37.809983999169432,144.97010747368216
3053,5162E,Unoccupied,"(-37.80265814072451, 144.95691315566705)",-37.80265814072451,144.95691315566705
674,D9W,Unoccupied,"(-37.809138440231862, 144.97189445765969)",-37.809138440231862,144.97189445765969
3625,7574N,Unoccupied,"(-37.80563672055596, 144.95462461030127)",-37.80563672055596,144.95462461030127
