unix_time,count_pedestrian,count_parking
1451602800,204742,60105
1451689200,171016,74774
1451775600,179077,67556
1451862000,192123,88400
1451948400,198209,92854
1452034800,209722,95464
1452121200,214137,96401
1452207600,207376,101298
1452294000,191465,85056
1452380400,200546,70054
1452466800,213748,95998
1452553200,217539,100945
1452639600,213246,101355
1452726000,211453,106411
1452812400,214647,108876
1452898800,195749,86017
1452985200,196374,72078
1453071600,220310,100373
1453158000,213478,103104
1453244400,224368,104582
1453330800,219018,105761
1453417200,208546,107156
1453503600,191766,85001
1453590000,199256,69191
1453676400,221000,95915
1453762800,173102,63081
1453849200,219324,103721
1453935600,218590,107682
1454022000,210333,108417
1454108400,189605,90079
1454194800,191795,71914
1454281200,222624,100499
1454367600,221288,105228
1454454000,220937,107264
1454540400,214741,108410
1454626800,224041,110244
1454713200,186708,91423
1454799600,195253,74264
1454886000,216363,101572
1454972400,216267,106996
1455058800,220692,108974
1455145200,223817,110975
1455231600,217536,111275
1455318000,199168,91677
1455404400,177901,75970
1455490800,223881,101614
1455577200,208882,104133
1455663600,209036,107766
1455750000,219306,109450
1455836400,215842,110828
1455922800,179987,84239
1456009200,223304,75299
1456095600,217155,100250
1456182000,213540,103163
1456268400,224529,103730
1456354800,224975,105243
1456441200,220415,107527
1456527600,195647,87857
1456614000,195767,71924
1456700400,215169,100177
1456786800,211366,101597
1456873200,212526,105561
1456959600,220233,106208
1457046000,217096,108264
1457132400,195404,86862
1457218800,200729,72413
1457305200,219701,98894
1457391600,220265,104320
1457478000,226204,106488
1457564400,219687,104805
1457650800,214917,108929
1457737200,189177,87686
1457823600,193459,72709
1457910000,192323,64938
1457996400,223274,104286
1458082800,226304,105998
1458169200,220906,107094
1458255600,220295,106937
1458342000,197161,88427
1458428400,203622,70862
1458514800,228641,97943
1458601200,226394,101255
1458687600,227713,102773
1458774000,217139,107505
1458860400,188939,62328
1458946800,180542,72623
1459033200,185666,62120
1459116000,175585,58071
1459202400,206752,97961
1459288800,211207,101821
